dry_run_id,content_type,title,content_completeness,content_completeness_reasons,disposition,import_readiness
workbook:02_Content_Inventory:8,faq,What is the National Scam Response Centre (NSRC)?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:9,faq,Who should contact NSRC?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:10,faq,What should I do if I have been scammed?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:11,faq,What information should I prepare when reporting a scam?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:17,faq,What is fake news?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:18,faq,How can I check if information is true?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:19,faq,Why do people share fake news?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:20,faq,What should I do if I see fake news?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:26,faq,What is AI-generated content?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:27,faq,What is a deepfake?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:28,faq,How can I tell if content is AI-generated?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:29,faq,Why should I verify AI-generated content?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:35,faq,What is personal data?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:36,faq,Why should I be careful when using public Wi-Fi?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:37,faq,What is a digital footprint?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:38,faq,How can I protect my privacy online?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:44,faq,What is cyberbullying?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:45,faq,What is online grooming?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:46,faq,What is sextortion?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:47,faq,How can I stay safe online?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:53,faq,What makes a strong password?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:54,faq,Why should I use different passwords for different accounts?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:55,faq,What is multi-factor authentication (MFA)?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:56,faq,Should I use a password manager?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:62,faq,What is a digital citizen?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:63,faq,What is social engineering?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:64,faq,Why should I think before clicking?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:65,faq,Who should I ask if I'm unsure about something online?,content_brief,FAQ row has question/summary prompt but no answer text.,missing_required_fields,planning_only
workbook:02_Content_Inventory:5,resource,How To Recognize and Avoid Phishing Scams,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:6,resource,National Scam Response Centre (NSRC) Malaysia,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:14,resource,Sebenarnya.my – Malaysia's Official Fact Check Portal,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:15,resource,Media and Information Literacy,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:23,resource,AI in Cybercrime: Understanding AI-Enabled Threats,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:24,resource,Understanding Deepfakes and Synthetic Media,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:32,resource,Department of Personal Data Protection (JPDP),content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:33,resource,Online Privacy and Security,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:41,resource,Cyberbullying: What Is It and How to Stop It,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:42,resource,Online Safety,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:50,resource,Use Strong Passwords,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:51,resource,Turn On Multi-Factor Authentication,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:59,resource,Digital Citizenship,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:60,resource,Social Engineering Explained,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:12,safety_summary,How to Avoid a Scam,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:21,safety_summary,Think Before You Share,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:30,safety_summary,Using AI Safely Online,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:39,safety_summary,Protecting Your Personal Information,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:48,safety_summary,Staying Safe Online,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:57,safety_summary,Protect Your Accounts,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:66,safety_summary,Safe Digital Habits,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:7,scenario,Avoiding Social Engineering and Phishing Attacks,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:16,scenario,Verifying Viral News Before Sharing,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:25,scenario,Uncovering Deepfakes,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:34,scenario,Public Computers and Public Wi-Fi,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:43,scenario,Dealing with Online Bullying,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:52,scenario,Creating a Secure Password,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:61,scenario,A Stranger Asks for Your Information,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
