dry_run_id,content_type,title,live_support,content_completeness,disposition,import_readiness,content_completeness_reasons
workbook:02_Content_Inventory:8,faq,What is the National Scam Response Centre (NSRC)?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:9,faq,Who should contact NSRC?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:10,faq,What should I do if I have been scammed?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:11,faq,What information should I prepare when reporting a scam?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:17,faq,What is fake news?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:18,faq,How can I check if information is true?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:19,faq,Why do people share fake news?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:20,faq,What should I do if I see fake news?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:26,faq,What is AI-generated content?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:27,faq,What is a deepfake?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:28,faq,How can I tell if content is AI-generated?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:29,faq,Why should I verify AI-generated content?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:35,faq,What is personal data?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:36,faq,Why should I be careful when using public Wi-Fi?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:37,faq,What is a digital footprint?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:38,faq,How can I protect my privacy online?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:44,faq,What is cyberbullying?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:45,faq,What is online grooming?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:46,faq,What is sextortion?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:47,faq,How can I stay safe online?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:53,faq,What makes a strong password?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:54,faq,Why should I use different passwords for different accounts?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:55,faq,What is multi-factor authentication (MFA)?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:56,faq,Should I use a password manager?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:62,faq,What is a digital citizen?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:63,faq,What is social engineering?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:64,faq,Why should I think before clicking?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:65,faq,Who should I ask if I'm unsure about something online?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:5,resource,How To Recognize and Avoid Phishing Scams,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:6,resource,National Scam Response Centre (NSRC) Malaysia,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:14,resource,Sebenarnya.my – Malaysia's Official Fact Check Portal,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:15,resource,Media and Information Literacy,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:23,resource,AI in Cybercrime: Understanding AI-Enabled Threats,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:24,resource,Understanding Deepfakes and Synthetic Media,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:32,resource,Department of Personal Data Protection (JPDP),live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:33,resource,Online Privacy and Security,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:41,resource,Cyberbullying: What Is It and How to Stop It,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:42,resource,Online Safety,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:50,resource,Use Strong Passwords,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:51,resource,Turn On Multi-Factor Authentication,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:59,resource,Digital Citizenship,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:60,resource,Social Engineering Explained,live_supported,content_brief,missing_required_fields,blocked_missing_content,Resource has title/summary/source planning fields but no learner-facing body column.
workbook:02_Content_Inventory:12,safety_summary,How to Avoid a Scam,planning_only,content_brief,missing_required_fields,planning_only,Safety Summary has concise title/summary guidance but no full content body.
workbook:02_Content_Inventory:21,safety_summary,Think Before You Share,planning_only,content_brief,missing_required_fields,planning_only,Safety Summary has concise title/summary guidance but no full content body.
workbook:02_Content_Inventory:30,safety_summary,Using AI Safely Online,planning_only,content_brief,missing_required_fields,planning_only,Safety Summary has concise title/summary guidance but no full content body.
workbook:02_Content_Inventory:39,safety_summary,Protecting Your Personal Information,planning_only,content_brief,missing_required_fields,planning_only,Safety Summary has concise title/summary guidance but no full content body.
workbook:02_Content_Inventory:48,safety_summary,Staying Safe Online,planning_only,content_brief,missing_required_fields,planning_only,Safety Summary has concise title/summary guidance but no full content body.
workbook:02_Content_Inventory:57,safety_summary,Protect Your Accounts,planning_only,content_brief,missing_required_fields,planning_only,Safety Summary has concise title/summary guidance but no full content body.
workbook:02_Content_Inventory:66,safety_summary,Safe Digital Habits,planning_only,content_brief,missing_required_fields,planning_only,Safety Summary has concise title/summary guidance but no full content body.
workbook:02_Content_Inventory:7,scenario,Avoiding Social Engineering and Phishing Attacks,live_supported,content_brief,missing_required_fields,blocked_missing_content,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.
workbook:02_Content_Inventory:16,scenario,Verifying Viral News Before Sharing,live_supported,content_brief,missing_required_fields,blocked_missing_content,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.
workbook:02_Content_Inventory:25,scenario,Uncovering Deepfakes,live_supported,content_brief,missing_required_fields,blocked_missing_content,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.
workbook:02_Content_Inventory:34,scenario,Public Computers and Public Wi-Fi,live_supported,content_brief,missing_required_fields,blocked_missing_content,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.
workbook:02_Content_Inventory:43,scenario,Dealing with Online Bullying,live_supported,content_brief,missing_required_fields,blocked_missing_content,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.
workbook:02_Content_Inventory:52,scenario,Creating a Secure Password,live_supported,content_brief,missing_required_fields,blocked_missing_content,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.
workbook:02_Content_Inventory:61,scenario,A Stranger Asks for Your Information,live_supported,content_brief,missing_required_fields,blocked_missing_content,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.
