dry_run_id,content_type,title,locale,declared,actual_status
workbook:02_Content_Inventory:8,faq,What is the National Scam Response Centre (NSRC)?,en,yes,partial
workbook:02_Content_Inventory:8,faq,What is the National Scam Response Centre (NSRC)?,ms,yes,partial
workbook:02_Content_Inventory:8,faq,What is the National Scam Response Centre (NSRC)?,zh-CN,yes,partial
workbook:02_Content_Inventory:9,faq,Who should contact NSRC?,en,yes,partial
workbook:02_Content_Inventory:9,faq,Who should contact NSRC?,ms,yes,partial
workbook:02_Content_Inventory:9,faq,Who should contact NSRC?,zh-CN,yes,partial
workbook:02_Content_Inventory:10,faq,What should I do if I have been scammed?,en,yes,partial
workbook:02_Content_Inventory:10,faq,What should I do if I have been scammed?,ms,yes,partial
workbook:02_Content_Inventory:10,faq,What should I do if I have been scammed?,zh-CN,yes,partial
workbook:02_Content_Inventory:11,faq,What information should I prepare when reporting a scam?,en,yes,partial
workbook:02_Content_Inventory:11,faq,What information should I prepare when reporting a scam?,ms,yes,partial
workbook:02_Content_Inventory:11,faq,What information should I prepare when reporting a scam?,zh-CN,yes,partial
workbook:02_Content_Inventory:17,faq,What is fake news?,en,yes,partial
workbook:02_Content_Inventory:17,faq,What is fake news?,ms,yes,partial
workbook:02_Content_Inventory:17,faq,What is fake news?,zh-CN,yes,partial
workbook:02_Content_Inventory:18,faq,How can I check if information is true?,en,yes,partial
workbook:02_Content_Inventory:18,faq,How can I check if information is true?,ms,yes,partial
workbook:02_Content_Inventory:18,faq,How can I check if information is true?,zh-CN,yes,partial
workbook:02_Content_Inventory:19,faq,Why do people share fake news?,en,yes,partial
workbook:02_Content_Inventory:19,faq,Why do people share fake news?,ms,yes,partial
workbook:02_Content_Inventory:19,faq,Why do people share fake news?,zh-CN,yes,partial
workbook:02_Content_Inventory:20,faq,What should I do if I see fake news?,en,yes,partial
workbook:02_Content_Inventory:20,faq,What should I do if I see fake news?,ms,yes,partial
workbook:02_Content_Inventory:20,faq,What should I do if I see fake news?,zh-CN,yes,partial
workbook:02_Content_Inventory:26,faq,What is AI-generated content?,en,yes,partial
workbook:02_Content_Inventory:26,faq,What is AI-generated content?,ms,yes,partial
workbook:02_Content_Inventory:26,faq,What is AI-generated content?,zh-CN,yes,partial
workbook:02_Content_Inventory:27,faq,What is a deepfake?,en,yes,partial
workbook:02_Content_Inventory:27,faq,What is a deepfake?,ms,yes,partial
workbook:02_Content_Inventory:27,faq,What is a deepfake?,zh-CN,yes,partial
workbook:02_Content_Inventory:28,faq,How can I tell if content is AI-generated?,en,yes,partial
workbook:02_Content_Inventory:28,faq,How can I tell if content is AI-generated?,ms,yes,partial
workbook:02_Content_Inventory:28,faq,How can I tell if content is AI-generated?,zh-CN,yes,partial
workbook:02_Content_Inventory:29,faq,Why should I verify AI-generated content?,en,yes,partial
workbook:02_Content_Inventory:29,faq,Why should I verify AI-generated content?,ms,yes,partial
workbook:02_Content_Inventory:29,faq,Why should I verify AI-generated content?,zh-CN,yes,partial
workbook:02_Content_Inventory:35,faq,What is personal data?,en,yes,partial
workbook:02_Content_Inventory:35,faq,What is personal data?,ms,yes,partial
workbook:02_Content_Inventory:35,faq,What is personal data?,zh-CN,yes,partial
workbook:02_Content_Inventory:36,faq,Why should I be careful when using public Wi-Fi?,en,yes,partial
workbook:02_Content_Inventory:36,faq,Why should I be careful when using public Wi-Fi?,ms,yes,partial
workbook:02_Content_Inventory:36,faq,Why should I be careful when using public Wi-Fi?,zh-CN,yes,partial
workbook:02_Content_Inventory:37,faq,What is a digital footprint?,en,yes,partial
workbook:02_Content_Inventory:37,faq,What is a digital footprint?,ms,yes,partial
workbook:02_Content_Inventory:37,faq,What is a digital footprint?,zh-CN,yes,partial
workbook:02_Content_Inventory:38,faq,How can I protect my privacy online?,en,yes,partial
workbook:02_Content_Inventory:38,faq,How can I protect my privacy online?,ms,yes,partial
workbook:02_Content_Inventory:38,faq,How can I protect my privacy online?,zh-CN,yes,partial
workbook:02_Content_Inventory:44,faq,What is cyberbullying?,en,yes,partial
workbook:02_Content_Inventory:44,faq,What is cyberbullying?,ms,yes,partial
workbook:02_Content_Inventory:44,faq,What is cyberbullying?,zh-CN,yes,partial
workbook:02_Content_Inventory:45,faq,What is online grooming?,en,yes,partial
workbook:02_Content_Inventory:45,faq,What is online grooming?,ms,yes,partial
workbook:02_Content_Inventory:45,faq,What is online grooming?,zh-CN,yes,partial
workbook:02_Content_Inventory:46,faq,What is sextortion?,en,yes,partial
workbook:02_Content_Inventory:46,faq,What is sextortion?,ms,yes,partial
workbook:02_Content_Inventory:46,faq,What is sextortion?,zh-CN,yes,partial
workbook:02_Content_Inventory:47,faq,How can I stay safe online?,en,yes,partial
workbook:02_Content_Inventory:47,faq,How can I stay safe online?,ms,yes,partial
workbook:02_Content_Inventory:47,faq,How can I stay safe online?,zh-CN,yes,partial
workbook:02_Content_Inventory:53,faq,What makes a strong password?,en,yes,partial
workbook:02_Content_Inventory:53,faq,What makes a strong password?,ms,yes,partial
workbook:02_Content_Inventory:53,faq,What makes a strong password?,zh-CN,yes,partial
workbook:02_Content_Inventory:54,faq,Why should I use different passwords for different accounts?,en,yes,partial
workbook:02_Content_Inventory:54,faq,Why should I use different passwords for different accounts?,ms,yes,partial
workbook:02_Content_Inventory:54,faq,Why should I use different passwords for different accounts?,zh-CN,yes,partial
workbook:02_Content_Inventory:55,faq,What is multi-factor authentication (MFA)?,en,yes,partial
workbook:02_Content_Inventory:55,faq,What is multi-factor authentication (MFA)?,ms,yes,partial
workbook:02_Content_Inventory:55,faq,What is multi-factor authentication (MFA)?,zh-CN,yes,partial
workbook:02_Content_Inventory:56,faq,Should I use a password manager?,en,yes,partial
workbook:02_Content_Inventory:56,faq,Should I use a password manager?,ms,yes,partial
workbook:02_Content_Inventory:56,faq,Should I use a password manager?,zh-CN,yes,partial
workbook:02_Content_Inventory:62,faq,What is a digital citizen?,en,yes,partial
workbook:02_Content_Inventory:62,faq,What is a digital citizen?,ms,yes,partial
workbook:02_Content_Inventory:62,faq,What is a digital citizen?,zh-CN,yes,partial
workbook:02_Content_Inventory:63,faq,What is social engineering?,en,yes,partial
workbook:02_Content_Inventory:63,faq,What is social engineering?,ms,yes,partial
workbook:02_Content_Inventory:63,faq,What is social engineering?,zh-CN,yes,partial
workbook:02_Content_Inventory:64,faq,Why should I think before clicking?,en,yes,partial
workbook:02_Content_Inventory:64,faq,Why should I think before clicking?,ms,yes,partial
workbook:02_Content_Inventory:64,faq,Why should I think before clicking?,zh-CN,yes,partial
workbook:02_Content_Inventory:65,faq,Who should I ask if I'm unsure about something online?,en,yes,partial
workbook:02_Content_Inventory:65,faq,Who should I ask if I'm unsure about something online?,ms,yes,partial
workbook:02_Content_Inventory:65,faq,Who should I ask if I'm unsure about something online?,zh-CN,yes,partial
workbook:02_Content_Inventory:5,resource,How To Recognize and Avoid Phishing Scams,en,yes,partial
workbook:02_Content_Inventory:5,resource,How To Recognize and Avoid Phishing Scams,ms,yes,partial
workbook:02_Content_Inventory:5,resource,How To Recognize and Avoid Phishing Scams,zh-CN,yes,partial
workbook:02_Content_Inventory:6,resource,National Scam Response Centre (NSRC) Malaysia,en,yes,partial
workbook:02_Content_Inventory:6,resource,National Scam Response Centre (NSRC) Malaysia,ms,yes,partial
workbook:02_Content_Inventory:6,resource,National Scam Response Centre (NSRC) Malaysia,zh-CN,yes,partial
workbook:02_Content_Inventory:14,resource,Sebenarnya.my – Malaysia's Official Fact Check Portal,en,yes,partial
workbook:02_Content_Inventory:14,resource,Sebenarnya.my – Malaysia's Official Fact Check Portal,ms,yes,partial
workbook:02_Content_Inventory:14,resource,Sebenarnya.my – Malaysia's Official Fact Check Portal,zh-CN,yes,partial
workbook:02_Content_Inventory:15,resource,Media and Information Literacy,en,yes,partial
workbook:02_Content_Inventory:15,resource,Media and Information Literacy,ms,yes,partial
workbook:02_Content_Inventory:15,resource,Media and Information Literacy,zh-CN,yes,partial
workbook:02_Content_Inventory:23,resource,AI in Cybercrime: Understanding AI-Enabled Threats,en,yes,partial
workbook:02_Content_Inventory:23,resource,AI in Cybercrime: Understanding AI-Enabled Threats,ms,yes,partial
workbook:02_Content_Inventory:23,resource,AI in Cybercrime: Understanding AI-Enabled Threats,zh-CN,yes,partial
workbook:02_Content_Inventory:24,resource,Understanding Deepfakes and Synthetic Media,en,yes,partial
workbook:02_Content_Inventory:24,resource,Understanding Deepfakes and Synthetic Media,ms,yes,partial
workbook:02_Content_Inventory:24,resource,Understanding Deepfakes and Synthetic Media,zh-CN,yes,partial
workbook:02_Content_Inventory:32,resource,Department of Personal Data Protection (JPDP),en,yes,partial
workbook:02_Content_Inventory:32,resource,Department of Personal Data Protection (JPDP),ms,yes,partial
workbook:02_Content_Inventory:32,resource,Department of Personal Data Protection (JPDP),zh-CN,yes,partial
workbook:02_Content_Inventory:33,resource,Online Privacy and Security,en,yes,partial
workbook:02_Content_Inventory:33,resource,Online Privacy and Security,ms,yes,partial
workbook:02_Content_Inventory:33,resource,Online Privacy and Security,zh-CN,yes,partial
workbook:02_Content_Inventory:41,resource,Cyberbullying: What Is It and How to Stop It,en,yes,partial
workbook:02_Content_Inventory:41,resource,Cyberbullying: What Is It and How to Stop It,ms,yes,partial
workbook:02_Content_Inventory:41,resource,Cyberbullying: What Is It and How to Stop It,zh-CN,yes,partial
workbook:02_Content_Inventory:42,resource,Online Safety,en,yes,partial
workbook:02_Content_Inventory:42,resource,Online Safety,ms,yes,partial
workbook:02_Content_Inventory:42,resource,Online Safety,zh-CN,yes,partial
workbook:02_Content_Inventory:50,resource,Use Strong Passwords,en,yes,partial
workbook:02_Content_Inventory:50,resource,Use Strong Passwords,ms,yes,partial
workbook:02_Content_Inventory:50,resource,Use Strong Passwords,zh-CN,yes,partial
workbook:02_Content_Inventory:51,resource,Turn On Multi-Factor Authentication,en,yes,partial
workbook:02_Content_Inventory:51,resource,Turn On Multi-Factor Authentication,ms,yes,partial
workbook:02_Content_Inventory:51,resource,Turn On Multi-Factor Authentication,zh-CN,yes,partial
workbook:02_Content_Inventory:59,resource,Digital Citizenship,en,yes,partial
workbook:02_Content_Inventory:59,resource,Digital Citizenship,ms,yes,partial
workbook:02_Content_Inventory:59,resource,Digital Citizenship,zh-CN,yes,partial
workbook:02_Content_Inventory:60,resource,Social Engineering Explained,en,yes,partial
workbook:02_Content_Inventory:60,resource,Social Engineering Explained,ms,yes,partial
workbook:02_Content_Inventory:60,resource,Social Engineering Explained,zh-CN,yes,partial
workbook:02_Content_Inventory:12,safety_summary,How to Avoid a Scam,en,yes,partial
workbook:02_Content_Inventory:12,safety_summary,How to Avoid a Scam,ms,yes,partial
workbook:02_Content_Inventory:12,safety_summary,How to Avoid a Scam,zh-CN,yes,partial
workbook:02_Content_Inventory:21,safety_summary,Think Before You Share,en,yes,partial
workbook:02_Content_Inventory:21,safety_summary,Think Before You Share,ms,yes,partial
workbook:02_Content_Inventory:21,safety_summary,Think Before You Share,zh-CN,yes,partial
workbook:02_Content_Inventory:30,safety_summary,Using AI Safely Online,en,yes,partial
workbook:02_Content_Inventory:30,safety_summary,Using AI Safely Online,ms,yes,partial
workbook:02_Content_Inventory:30,safety_summary,Using AI Safely Online,zh-CN,yes,partial
workbook:02_Content_Inventory:39,safety_summary,Protecting Your Personal Information,en,yes,partial
workbook:02_Content_Inventory:39,safety_summary,Protecting Your Personal Information,ms,yes,partial
workbook:02_Content_Inventory:39,safety_summary,Protecting Your Personal Information,zh-CN,yes,partial
workbook:02_Content_Inventory:48,safety_summary,Staying Safe Online,en,yes,partial
workbook:02_Content_Inventory:48,safety_summary,Staying Safe Online,ms,yes,partial
workbook:02_Content_Inventory:48,safety_summary,Staying Safe Online,zh-CN,yes,partial
workbook:02_Content_Inventory:57,safety_summary,Protect Your Accounts,en,yes,partial
workbook:02_Content_Inventory:57,safety_summary,Protect Your Accounts,ms,yes,partial
workbook:02_Content_Inventory:57,safety_summary,Protect Your Accounts,zh-CN,yes,partial
workbook:02_Content_Inventory:66,safety_summary,Safe Digital Habits,en,yes,partial
workbook:02_Content_Inventory:66,safety_summary,Safe Digital Habits,ms,yes,partial
workbook:02_Content_Inventory:66,safety_summary,Safe Digital Habits,zh-CN,yes,partial
workbook:02_Content_Inventory:7,scenario,Avoiding Social Engineering and Phishing Attacks,en,yes,partial
workbook:02_Content_Inventory:7,scenario,Avoiding Social Engineering and Phishing Attacks,ms,yes,partial
workbook:02_Content_Inventory:7,scenario,Avoiding Social Engineering and Phishing Attacks,zh-CN,yes,partial
workbook:02_Content_Inventory:16,scenario,Verifying Viral News Before Sharing,en,yes,partial
workbook:02_Content_Inventory:16,scenario,Verifying Viral News Before Sharing,ms,yes,partial
workbook:02_Content_Inventory:16,scenario,Verifying Viral News Before Sharing,zh-CN,yes,partial
workbook:02_Content_Inventory:25,scenario,Uncovering Deepfakes,en,yes,partial
workbook:02_Content_Inventory:25,scenario,Uncovering Deepfakes,ms,yes,partial
workbook:02_Content_Inventory:25,scenario,Uncovering Deepfakes,zh-CN,yes,partial
workbook:02_Content_Inventory:34,scenario,Public Computers and Public Wi-Fi,en,yes,partial
workbook:02_Content_Inventory:34,scenario,Public Computers and Public Wi-Fi,ms,yes,partial
workbook:02_Content_Inventory:34,scenario,Public Computers and Public Wi-Fi,zh-CN,yes,partial
workbook:02_Content_Inventory:43,scenario,Dealing with Online Bullying,en,yes,partial
workbook:02_Content_Inventory:43,scenario,Dealing with Online Bullying,ms,yes,partial
workbook:02_Content_Inventory:43,scenario,Dealing with Online Bullying,zh-CN,yes,partial
workbook:02_Content_Inventory:52,scenario,Creating a Secure Password,en,yes,partial
workbook:02_Content_Inventory:52,scenario,Creating a Secure Password,ms,yes,partial
workbook:02_Content_Inventory:52,scenario,Creating a Secure Password,zh-CN,yes,partial
workbook:02_Content_Inventory:61,scenario,A Stranger Asks for Your Information,en,yes,partial
workbook:02_Content_Inventory:61,scenario,A Stranger Asks for Your Information,ms,yes,partial
workbook:02_Content_Inventory:61,scenario,A Stranger Asks for Your Information,zh-CN,yes,partial
